,Edition,Year,Points type,From,To,Points
0,rotterdam-2021,2021,Points given by televoters,cyprus,greece,12
1,rotterdam-2021,2021,Points given by televoters,cyprus,italy,10
2,rotterdam-2021,2021,Points given by televoters,cyprus,france,8
3,rotterdam-2021,2021,Points given by televoters,cyprus,bulgaria,7
4,rotterdam-2021,2021,Points given by televoters,cyprus,ukraine,6
5,rotterdam-2021,2021,Points given by televoters,cyprus,lithuania,5
6,rotterdam-2021,2021,Points given by televoters,cyprus,finland,4
7,rotterdam-2021,2021,Points given by televoters,cyprus,russia,3
8,rotterdam-2021,2021,Points given by televoters,cyprus,israel,2
9,rotterdam-2021,2021,Points given by televoters,cyprus,malta,1
10,rotterdam-2021,2021,Points given by the jury,cyprus,greece,12
11,rotterdam-2021,2021,Points given by the jury,cyprus,malta,10
12,rotterdam-2021,2021,Points given by the jury,cyprus,italy,8
13,rotterdam-2021,2021,Points given by the jury,cyprus,france,7
14,rotterdam-2021,2021,Points given by the jury,cyprus,russia,6
15,rotterdam-2021,2021,Points given by the jury,cyprus,bulgaria,5
16,rotterdam-2021,2021,Points given by the jury,cyprus,belgium,4
17,rotterdam-2021,2021,Points given by the jury,cyprus,finland,3
18,rotterdam-2021,2021,Points given by the jury,cyprus,switzerland,2
19,rotterdam-2021,2021,Points given by the jury,cyprus,portugal,1
20,rotterdam-2021,2021,Points given by televoters,albania,switzerland,12
21,rotterdam-2021,2021,Points given by televoters,albania,italy,10
22,rotterdam-2021,2021,Points given by televoters,albania,greece,8
23,rotterdam-2021,2021,Points given by televoters,albania,moldova,7
24,rotterdam-2021,2021,Points given by televoters,albania,france,6
25,rotterdam-2021,2021,Points given by televoters,albania,bulgaria,5
26,rotterdam-2021,2021,Points given by televoters,albania,ukraine,4
27,rotterdam-2021,2021,Points given by televoters,albania,finland,3
28,rotterdam-2021,2021,Points given by televoters,albania,cyprus,2
29,rotterdam-2021,2021,Points given by televoters,albania,sweden,1
30,rotterdam-2021,2021,Points given by the jury,albania,switzerland,12
31,rotterdam-2021,2021,Points given by the jury,albania,france,10
32,rotterdam-2021,2021,Points given by the jury,albania,malta,8
33,rotterdam-2021,2021,Points given by the jury,albania,cyprus,7
34,rotterdam-2021,2021,Points given by the jury,albania,greece,6
35,rotterdam-2021,2021,Points given by the jury,albania,san marino,5
36,rotterdam-2021,2021,Points given by the jury,albania,italy,4
37,rotterdam-2021,2021,Points given by the jury,albania,finland,3
38,rotterdam-2021,2021,Points given by the jury,albania,azerbaijan,2
39,rotterdam-2021,2021,Points given by the jury,albania,serbia,1
40,rotterdam-2021,2021,Points given by televoters,israel,ukraine,12
41,rotterdam-2021,2021,Points given by televoters,israel,russia,10
42,rotterdam-2021,2021,Points given by televoters,israel,france,8
43,rotterdam-2021,2021,Points given by televoters,israel,italy,7
44,rotterdam-2021,2021,Points given by televoters,israel,switzerland,6
45,rotterdam-2021,2021,Points given by televoters,israel,malta,5
46,rotterdam-2021,2021,Points given by televoters,israel,finland,4
47,rotterdam-2021,2021,Points given by televoters,israel,lithuania,3
48,rotterdam-2021,2021,Points given by televoters,israel,azerbaijan,2
49,rotterdam-2021,2021,Points given by televoters,israel,iceland,1
50,rotterdam-2021,2021,Points given by the jury,israel,switzerland,12
51,rotterdam-2021,2021,Points given by the jury,israel,lithuania,10
52,rotterdam-2021,2021,Points given by the jury,israel,france,8
53,rotterdam-2021,2021,Points given by the jury,israel,russia,7
54,rotterdam-2021,2021,Points given by the jury,israel,belgium,6
55,rotterdam-2021,2021,Points given by the jury,israel,malta,5
56,rotterdam-2021,2021,Points given by the jury,israel,ukraine,4
57,rotterdam-2021,2021,Points given by the jury,israel,cyprus,3
58,rotterdam-2021,2021,Points given by the jury,israel,azerbaijan,2
59,rotterdam-2021,2021,Points given by the jury,israel,bulgaria,1
60,rotterdam-2021,2021,Points given by televoters,belgium,france,12
61,rotterdam-2021,2021,Points given by televoters,belgium,ukraine,10
62,rotterdam-2021,2021,Points given by televoters,belgium,italy,8
63,rotterdam-2021,2021,Points given by televoters,belgium,lithuania,7
64,rotterdam-2021,2021,Points given by televoters,belgium,finland,6
65,rotterdam-2021,2021,Points given by televoters,belgium,iceland,5
66,rotterdam-2021,2021,Points given by televoters,belgium,switzerland,4
67,rotterdam-2021,2021,Points given by televoters,belgium,sweden,3
68,rotterdam-2021,2021,Points given by televoters,belgium,malta,2
69,rotterdam-2021,2021,Points given by televoters,belgium,norway,1
70,rotterdam-2021,2021,Points given by the jury,belgium,switzerland,12
71,rotterdam-2021,2021,Points given by the jury,belgium,ukraine,10
72,rotterdam-2021,2021,Points given by the jury,belgium,finland,8
73,rotterdam-2021,2021,Points given by the jury,belgium,russia,7
74,rotterdam-2021,2021,Points given by the jury,belgium,bulgaria,6
75,rotterdam-2021,2021,Points given by the jury,belgium,malta,5
76,rotterdam-2021,2021,Points given by the jury,belgium,sweden,4
77,rotterdam-2021,2021,Points given by the jury,belgium,iceland,3
78,rotterdam-2021,2021,Points given by the jury,belgium,italy,2
79,rotterdam-2021,2021,Points given by the jury,belgium,portugal,1
80,rotterdam-2021,2021,Points given by televoters,russia, cyprus,12
81,rotterdam-2021,2021,Points given by televoters,russia,italy,10
82,rotterdam-2021,2021,Points given by televoters,russia,finland,8
83,rotterdam-2021,2021,Points given by televoters,russia,ukraine,7
84,rotterdam-2021,2021,Points given by televoters,russia,france,6
85,rotterdam-2021,2021,Points given by televoters,russia,switzerland,5
86,rotterdam-2021,2021,Points given by televoters,russia,azerbaijan,4
87,rotterdam-2021,2021,Points given by televoters,russia,moldova,3
88,rotterdam-2021,2021,Points given by televoters,russia,lithuania,2
89,rotterdam-2021,2021,Points given by televoters,russia,iceland,1
90,rotterdam-2021,2021,Points given by the jury,russia,moldova,12
91,rotterdam-2021,2021,Points given by the jury,russia,italy,10
92,rotterdam-2021,2021,Points given by the jury,russia,azerbaijan,8
93,rotterdam-2021,2021,Points given by the jury,russia,greece,7
94,rotterdam-2021,2021,Points given by the jury,russia,bulgaria,6
95,rotterdam-2021,2021,Points given by the jury,russia,israel,5
96,rotterdam-2021,2021,Points given by the jury,russia,malta,4
97,rotterdam-2021,2021,Points given by the jury,russia,belgium,3
98,rotterdam-2021,2021,Points given by the jury,russia,cyprus,2
99,rotterdam-2021,2021,Points given by the jury,russia,switzerland,1
100,rotterdam-2021,2021,Points given by televoters,malta,italy,12
101,rotterdam-2021,2021,Points given by televoters,malta,norway,10
102,rotterdam-2021,2021,Points given by televoters,malta,sweden,8
103,rotterdam-2021,2021,Points given by televoters,malta,finland,7
104,rotterdam-2021,2021,Points given by televoters,malta,lithuania,6
105,rotterdam-2021,2021,Points given by televoters,malta,iceland,5
106,rotterdam-2021,2021,Points given by televoters,malta,serbia,4
107,rotterdam-2021,2021,Points given by televoters,malta,france,3
108,rotterdam-2021,2021,Points given by televoters,malta,cyprus,2
109,rotterdam-2021,2021,Points given by televoters,malta,ukraine,1
110,rotterdam-2021,2021,Points given by the jury,malta,albania,12
111,rotterdam-2021,2021,Points given by the jury,malta,switzerland,10
112,rotterdam-2021,2021,Points given by the jury,malta,sweden,8
113,rotterdam-2021,2021,Points given by the jury,malta,portugal,7
114,rotterdam-2021,2021,Points given by the jury,malta,greece,6
115,rotterdam-2021,2021,Points given by the jury,malta,ukraine,5
116,rotterdam-2021,2021,Points given by the jury,malta,cyprus,4
117,rotterdam-2021,2021,Points given by the jury,malta,france,3
118,rotterdam-2021,2021,Points given by the jury,malta,finland,2
119,rotterdam-2021,2021,Points given by the jury,malta,san marino,1
120,rotterdam-2021,2021,Points given by televoters,portugal,france,12
121,rotterdam-2021,2021,Points given by televoters,portugal,ukraine,10
122,rotterdam-2021,2021,Points given by televoters,portugal,moldova,8
123,rotterdam-2021,2021,Points given by televoters,portugal,italy,7
124,rotterdam-2021,2021,Points given by televoters,portugal,switzerland,6
125,rotterdam-2021,2021,Points given by televoters,portugal,finland,5
126,rotterdam-2021,2021,Points given by televoters,portugal,sweden,4
127,rotterdam-2021,2021,Points given by televoters,portugal,iceland,3
128,rotterdam-2021,2021,Points given by televoters,portugal,greece,2
129,rotterdam-2021,2021,Points given by televoters,portugal,russia,1
130,rotterdam-2021,2021,Points given by the jury,portugal,bulgaria,12
131,rotterdam-2021,2021,Points given by the jury,portugal,russia,10
132,rotterdam-2021,2021,Points given by the jury,portugal,iceland,8
133,rotterdam-2021,2021,Points given by the jury,portugal,switzerland,7
134,rotterdam-2021,2021,Points given by the jury,portugal,france,6
135,rotterdam-2021,2021,Points given by the jury,portugal,belgium,5
136,rotterdam-2021,2021,Points given by the jury,portugal,malta,4
137,rotterdam-2021,2021,Points given by the jury,portugal,italy,3
138,rotterdam-2021,2021,Points given by the jury,portugal,ukraine,2
139,rotterdam-2021,2021,Points given by the jury,portugal,the netherlands,1
140,rotterdam-2021,2021,Points given by televoters,serbia,italy,12
141,rotterdam-2021,2021,Points given by televoters,serbia,france,10
142,rotterdam-2021,2021,Points given by televoters,serbia,ukraine,8
143,rotterdam-2021,2021,Points given by televoters,serbia,finland,7
144,rotterdam-2021,2021,Points given by televoters,serbia,russia,6
145,rotterdam-2021,2021,Points given by televoters,serbia,iceland,5
146,rotterdam-2021,2021,Points given by televoters,serbia,azerbaijan,4
147,rotterdam-2021,2021,Points given by televoters,serbia,greece,3
148,rotterdam-2021,2021,Points given by televoters,serbia,cyprus,2
149,rotterdam-2021,2021,Points given by televoters,serbia,switzerland,1
150,rotterdam-2021,2021,Points given by the jury,serbia,france,12
151,rotterdam-2021,2021,Points given by the jury,serbia,finland,10
152,rotterdam-2021,2021,Points given by the jury,serbia,italy,8
153,rotterdam-2021,2021,Points given by the jury,serbia,iceland,7
154,rotterdam-2021,2021,Points given by the jury,serbia,bulgaria,6
155,rotterdam-2021,2021,Points given by the jury,serbia,portugal,5
156,rotterdam-2021,2021,Points given by the jury,serbia,sweden,4
157,rotterdam-2021,2021,Points given by the jury,serbia,greece,3
158,rotterdam-2021,2021,Points given by the jury,serbia,israel,2
159,rotterdam-2021,2021,Points given by the jury,serbia,switzerland,1
160,rotterdam-2021,2021,Points given by televoters ,united-kingdom,lithuania,12
161,rotterdam-2021,2021,Points given by televoters ,united-kingdom,iceland,10
162,rotterdam-2021,2021,Points given by televoters ,united-kingdom,bulgaria,8
163,rotterdam-2021,2021,Points given by televoters ,united-kingdom,finland,7
164,rotterdam-2021,2021,Points given by televoters ,united-kingdom,malta,6
165,rotterdam-2021,2021,Points given by televoters ,united-kingdom,france,5
166,rotterdam-2021,2021,Points given by televoters ,united-kingdom,ukraine,4
167,rotterdam-2021,2021,Points given by televoters ,united-kingdom,italy,3
168,rotterdam-2021,2021,Points given by televoters ,united-kingdom,norway,2
169,rotterdam-2021,2021,Points given by televoters ,united-kingdom,switzerland,1
170,rotterdam-2021,2021,Points given by the jury,united-kingdom,france,12
171,rotterdam-2021,2021,Points given by the jury,united-kingdom,iceland,10
172,rotterdam-2021,2021,Points given by the jury,united-kingdom,switzerland,8
173,rotterdam-2021,2021,Points given by the jury,united-kingdom,portugal,7
174,rotterdam-2021,2021,Points given by the jury,united-kingdom,israel,6
175,rotterdam-2021,2021,Points given by the jury,united-kingdom,bulgaria,5
176,rotterdam-2021,2021,Points given by the jury,united-kingdom,finland,4
177,rotterdam-2021,2021,Points given by the jury,united-kingdom,san marino,3
178,rotterdam-2021,2021,Points given by the jury,united-kingdom,spain,2
179,rotterdam-2021,2021,Points given by the jury,united-kingdom,belgium,1
180,rotterdam-2021,2021,Points given by televoters,greece,cyprus,12
181,rotterdam-2021,2021,Points given by televoters,greece,italy,10
182,rotterdam-2021,2021,Points given by televoters,greece,france,8
183,rotterdam-2021,2021,Points given by televoters,greece,albania,7
184,rotterdam-2021,2021,Points given by televoters,greece,finland,6
185,rotterdam-2021,2021,Points given by televoters,greece,ukraine,5
186,rotterdam-2021,2021,Points given by televoters,greece,switzerland,4
187,rotterdam-2021,2021,Points given by televoters,greece,malta,3
188,rotterdam-2021,2021,Points given by televoters,greece,azerbaijan,2
189,rotterdam-2021,2021,Points given by televoters,greece,russia,1
190,rotterdam-2021,2021,Points given by the jury,greece,cyprus,12
191,rotterdam-2021,2021,Points given by the jury,greece,moldova,10
192,rotterdam-2021,2021,Points given by the jury,greece,bulgaria,8
193,rotterdam-2021,2021,Points given by the jury,greece,san marino,7
194,rotterdam-2021,2021,Points given by the jury,greece,malta,6
195,rotterdam-2021,2021,Points given by the jury,greece,france,5
196,rotterdam-2021,2021,Points given by the jury,greece,italy,4
197,rotterdam-2021,2021,Points given by the jury,greece,belgium,3
198,rotterdam-2021,2021,Points given by the jury,greece,russia,2
199,rotterdam-2021,2021,Points given by the jury,greece,ukraine,1
200,rotterdam-2021,2021,Points given by televoters,switzerland,serbia,12
201,rotterdam-2021,2021,Points given by televoters,switzerland,italy,10
202,rotterdam-2021,2021,Points given by televoters,switzerland,portugal,8
203,rotterdam-2021,2021,Points given by televoters,switzerland,albania,7
204,rotterdam-2021,2021,Points given by televoters,switzerland,france,6
205,rotterdam-2021,2021,Points given by televoters,switzerland,iceland,5
206,rotterdam-2021,2021,Points given by televoters,switzerland,finland,4
207,rotterdam-2021,2021,Points given by televoters,switzerland,sweden,3
208,rotterdam-2021,2021,Points given by televoters,switzerland,ukraine,2
209,rotterdam-2021,2021,Points given by televoters,switzerland,lithuania,1
210,rotterdam-2021,2021,Points given by the jury,switzerland,france,12
211,rotterdam-2021,2021,Points given by the jury,switzerland,bulgaria,10
212,rotterdam-2021,2021,Points given by the jury,switzerland,italy,8
213,rotterdam-2021,2021,Points given by the jury,switzerland,portugal,7
214,rotterdam-2021,2021,Points given by the jury,switzerland,malta,6
215,rotterdam-2021,2021,Points given by the jury,switzerland,iceland,5
216,rotterdam-2021,2021,Points given by the jury,switzerland,lithuania,4
217,rotterdam-2021,2021,Points given by the jury,switzerland,russia,3
218,rotterdam-2021,2021,Points given by the jury,switzerland,azerbaijan,2
219,rotterdam-2021,2021,Points given by the jury,switzerland,finland,1
220,rotterdam-2021,2021,Points given by televoters,iceland,finland,12
221,rotterdam-2021,2021,Points given by televoters,iceland,sweden,10
222,rotterdam-2021,2021,Points given by televoters,iceland,ukraine,8
223,rotterdam-2021,2021,Points given by televoters,iceland,france,7
224,rotterdam-2021,2021,Points given by televoters,iceland,switzerland,6
225,rotterdam-2021,2021,Points given by televoters,iceland,italy,5
226,rotterdam-2021,2021,Points given by televoters,iceland,lithuania,4
227,rotterdam-2021,2021,Points given by televoters,iceland,malta,3
228,rotterdam-2021,2021,Points given by televoters,iceland,portugal,2
229,rotterdam-2021,2021,Points given by televoters,iceland,norway,1
230,rotterdam-2021,2021,Points given by the jury,iceland,switzerland,12
231,rotterdam-2021,2021,Points given by the jury,iceland,portugal,10
232,rotterdam-2021,2021,Points given by the jury,iceland,bulgaria,8
233,rotterdam-2021,2021,Points given by the jury,iceland,italy,7
234,rotterdam-2021,2021,Points given by the jury,iceland,france,6
235,rotterdam-2021,2021,Points given by the jury,iceland,finland,5
236,rotterdam-2021,2021,Points given by the jury,iceland,greece,4
237,rotterdam-2021,2021,Points given by the jury,iceland,ukraine,3
238,rotterdam-2021,2021,Points given by the jury,iceland,russia,2
239,rotterdam-2021,2021,Points given by the jury,iceland,malta,1
240,rotterdam-2021,2021,Points given by televoters,spain,france,12
241,rotterdam-2021,2021,Points given by televoters,spain,italy,10
242,rotterdam-2021,2021,Points given by televoters,spain,bulgaria,8
243,rotterdam-2021,2021,Points given by televoters,spain,switzerland,7
244,rotterdam-2021,2021,Points given by televoters,spain,ukraine,6
245,rotterdam-2021,2021,Points given by televoters,spain,iceland,5
246,rotterdam-2021,2021,Points given by televoters,spain,lithuania,4
247,rotterdam-2021,2021,Points given by televoters,spain,malta,3
248,rotterdam-2021,2021,Points given by televoters,spain,finland,2
249,rotterdam-2021,2021,Points given by televoters,spain,portugal,1
250,rotterdam-2021,2021,Points given by the jury,spain,france,12
251,rotterdam-2021,2021,Points given by the jury,spain,switzerland,10
252,rotterdam-2021,2021,Points given by the jury,spain,malta,8
253,rotterdam-2021,2021,Points given by the jury,spain,iceland,7
254,rotterdam-2021,2021,Points given by the jury,spain,cyprus,6
255,rotterdam-2021,2021,Points given by the jury,spain,portugal,5
256,rotterdam-2021,2021,Points given by the jury,spain,bulgaria,4
257,rotterdam-2021,2021,Points given by the jury,spain,israel,3
258,rotterdam-2021,2021,Points given by the jury,spain,lithuania,2
259,rotterdam-2021,2021,Points given by the jury,spain,greece,1
260,rotterdam-2021,2021,Points given by televoters,moldova,russia,12
261,rotterdam-2021,2021,Points given by televoters,moldova,ukraine,10
262,rotterdam-2021,2021,Points given by televoters,moldova,italy,8
263,rotterdam-2021,2021,Points given by televoters,moldova,greece,7
264,rotterdam-2021,2021,Points given by televoters,moldova,france,6
265,rotterdam-2021,2021,Points given by televoters,moldova,finland,5
266,rotterdam-2021,2021,Points given by televoters,moldova,switzerland,4
267,rotterdam-2021,2021,Points given by televoters,moldova,sweden,3
268,rotterdam-2021,2021,Points given by televoters,moldova,lithuania,2
269,rotterdam-2021,2021,Points given by televoters,moldova,azerbaijan,1
270,rotterdam-2021,2021,Points given by the jury,moldova,bulgaria,12
271,rotterdam-2021,2021,Points given by the jury,moldova,russia,10
272,rotterdam-2021,2021,Points given by the jury,moldova,greece,8
273,rotterdam-2021,2021,Points given by the jury,moldova,malta,7
274,rotterdam-2021,2021,Points given by the jury,moldova,azerbaijan,6
275,rotterdam-2021,2021,Points given by the jury,moldova,iceland,5
276,rotterdam-2021,2021,Points given by the jury,moldova,france,4
277,rotterdam-2021,2021,Points given by the jury,moldova,switzerland,3
278,rotterdam-2021,2021,Points given by the jury,moldova,portugal,2
279,rotterdam-2021,2021,Points given by the jury,moldova,cyprus,1
280,rotterdam-2021,2021,Points given by televoters,germany,lithuania,12
281,rotterdam-2021,2021,Points given by televoters,germany,france,10
282,rotterdam-2021,2021,Points given by televoters,germany,finland,8
283,rotterdam-2021,2021,Points given by televoters,germany,italy,7
284,rotterdam-2021,2021,Points given by televoters,germany,iceland,6
285,rotterdam-2021,2021,Points given by televoters,germany,russia,5
286,rotterdam-2021,2021,Points given by televoters,germany,ukraine,4
287,rotterdam-2021,2021,Points given by televoters,germany,serbia,3
288,rotterdam-2021,2021,Points given by televoters,germany,switzerland,2
289,rotterdam-2021,2021,Points given by televoters,germany,norway,1
290,rotterdam-2021,2021,Points given by the jury,germany,france,12
291,rotterdam-2021,2021,Points given by the jury,germany,switzerland,10
292,rotterdam-2021,2021,Points given by the jury,germany,malta,8
293,rotterdam-2021,2021,Points given by the jury,germany,cyprus,7
294,rotterdam-2021,2021,Points given by the jury,germany,italy,6
295,rotterdam-2021,2021,Points given by the jury,germany,ukraine,5
296,rotterdam-2021,2021,Points given by the jury,germany,sweden,4
297,rotterdam-2021,2021,Points given by the jury,germany,iceland,3
298,rotterdam-2021,2021,Points given by the jury,germany,russia,2
299,rotterdam-2021,2021,Points given by the jury,germany,lithuania,1
300,rotterdam-2021,2021,Points given by televoters,finland,iceland,12
301,rotterdam-2021,2021,Points given by televoters,finland,ukraine,10
302,rotterdam-2021,2021,Points given by televoters,finland,italy,8
303,rotterdam-2021,2021,Points given by televoters,finland,switzerland,7
304,rotterdam-2021,2021,Points given by televoters,finland,france,6
305,rotterdam-2021,2021,Points given by televoters,finland,lithuania,5
306,rotterdam-2021,2021,Points given by televoters,finland,norway,4
307,rotterdam-2021,2021,Points given by televoters,finland,sweden,3
308,rotterdam-2021,2021,Points given by televoters,finland,moldova,2
309,rotterdam-2021,2021,Points given by televoters,finland,russia,1
310,rotterdam-2021,2021,Points given by the jury,finland,switzerland,12
311,rotterdam-2021,2021,Points given by the jury,finland,bulgaria,10
312,rotterdam-2021,2021,Points given by the jury,finland,iceland,8
313,rotterdam-2021,2021,Points given by the jury,finland,france,7
314,rotterdam-2021,2021,Points given by the jury,finland,italy,6
315,rotterdam-2021,2021,Points given by the jury,finland,sweden,5
316,rotterdam-2021,2021,Points given by the jury,finland,russia,4
317,rotterdam-2021,2021,Points given by the jury,finland,lithuania,3
318,rotterdam-2021,2021,Points given by the jury,finland,greece,2
319,rotterdam-2021,2021,Points given by the jury,finland,malta,1
320,rotterdam-2021,2021,Points given by televoters,bulgaria,italy,12
321,rotterdam-2021,2021,Points given by televoters,bulgaria,france,10
322,rotterdam-2021,2021,Points given by televoters,bulgaria,finland,8
323,rotterdam-2021,2021,Points given by televoters,bulgaria,russia,7
324,rotterdam-2021,2021,Points given by televoters,bulgaria,ukraine,6
325,rotterdam-2021,2021,Points given by televoters,bulgaria,serbia,5
326,rotterdam-2021,2021,Points given by televoters,bulgaria,azerbaijan,4
327,rotterdam-2021,2021,Points given by televoters,bulgaria,switzerland,3
328,rotterdam-2021,2021,Points given by televoters,bulgaria,greece,2
329,rotterdam-2021,2021,Points given by televoters,bulgaria,sweden,1
330,rotterdam-2021,2021,Points given by the jury,bulgaria,moldova,12
331,rotterdam-2021,2021,Points given by the jury,bulgaria,italy,10
332,rotterdam-2021,2021,Points given by the jury,bulgaria,greece,8
333,rotterdam-2021,2021,Points given by the jury,bulgaria,france,7
334,rotterdam-2021,2021,Points given by the jury,bulgaria,portugal,6
335,rotterdam-2021,2021,Points given by the jury,bulgaria,malta,5
336,rotterdam-2021,2021,Points given by the jury,bulgaria,spain,4
337,rotterdam-2021,2021,Points given by the jury,bulgaria,israel,3
338,rotterdam-2021,2021,Points given by the jury,bulgaria,the netherlands,2
339,rotterdam-2021,2021,Points given by the jury,bulgaria,finland,1
340,rotterdam-2021,2021,Points given by televoters,lithuania,ukraine,12
341,rotterdam-2021,2021,Points given by televoters,lithuania,italy,10
342,rotterdam-2021,2021,Points given by televoters,lithuania,france,8
343,rotterdam-2021,2021,Points given by televoters,lithuania,finland,7
344,rotterdam-2021,2021,Points given by televoters,lithuania,switzerland,6
345,rotterdam-2021,2021,Points given by televoters,lithuania,norway,5
346,rotterdam-2021,2021,Points given by televoters,lithuania,russia,4
347,rotterdam-2021,2021,Points given by televoters,lithuania,iceland,3
348,rotterdam-2021,2021,Points given by televoters,lithuania,belgium,2
349,rotterdam-2021,2021,Points given by televoters,lithuania,sweden,1
350,rotterdam-2021,2021,Points given by the jury,lithuania,ukraine,12
351,rotterdam-2021,2021,Points given by the jury,lithuania,italy,10
352,rotterdam-2021,2021,Points given by the jury,lithuania,switzerland,8
353,rotterdam-2021,2021,Points given by the jury,lithuania,belgium,7
354,rotterdam-2021,2021,Points given by the jury,lithuania,portugal,6
355,rotterdam-2021,2021,Points given by the jury,lithuania,france,5
356,rotterdam-2021,2021,Points given by the jury,lithuania,iceland,4
357,rotterdam-2021,2021,Points given by the jury,lithuania,malta,3
358,rotterdam-2021,2021,Points given by the jury,lithuania,bulgaria,2
359,rotterdam-2021,2021,Points given by the jury,lithuania,israel,1
360,rotterdam-2021,2021,Points given by televoters,ukraine,italy,12
361,rotterdam-2021,2021,Points given by televoters,ukraine,lithuania,10
362,rotterdam-2021,2021,Points given by televoters,ukraine,finland,8
363,rotterdam-2021,2021,Points given by televoters,ukraine,switzerland,7
364,rotterdam-2021,2021,Points given by televoters,ukraine,iceland,6
365,rotterdam-2021,2021,Points given by televoters,ukraine,france,5
366,rotterdam-2021,2021,Points given by televoters,ukraine,russia,4
367,rotterdam-2021,2021,Points given by televoters,ukraine,azerbaijan,3
368,rotterdam-2021,2021,Points given by televoters,ukraine,sweden,2
369,rotterdam-2021,2021,Points given by televoters,ukraine,belgium,1
370,rotterdam-2021,2021,Points given by the jury,ukraine,italy,12
371,rotterdam-2021,2021,Points given by the jury,ukraine,france,10
372,rotterdam-2021,2021,Points given by the jury,ukraine,switzerland,8
373,rotterdam-2021,2021,Points given by the jury,ukraine,israel,7
374,rotterdam-2021,2021,Points given by the jury,ukraine,belgium,6
375,rotterdam-2021,2021,Points given by the jury,ukraine,malta,5
376,rotterdam-2021,2021,Points given by the jury,ukraine,iceland,4
377,rotterdam-2021,2021,Points given by the jury,ukraine,azerbaijan,3
378,rotterdam-2021,2021,Points given by the jury,ukraine,portugal,2
379,rotterdam-2021,2021,Points given by the jury,ukraine,norway,1
380,rotterdam-2021,2021,Points given by televoters,france,ukraine,12
381,rotterdam-2021,2021,Points given by televoters,france,italy,10
382,rotterdam-2021,2021,Points given by televoters,france,portugal,8
383,rotterdam-2021,2021,Points given by televoters,france,moldova,7
384,rotterdam-2021,2021,Points given by televoters,france,switzerland,6
385,rotterdam-2021,2021,Points given by televoters,france,israel,5
386,rotterdam-2021,2021,Points given by televoters,france,iceland,4
387,rotterdam-2021,2021,Points given by televoters,france,serbia,3
388,rotterdam-2021,2021,Points given by televoters,france,sweden,2
389,rotterdam-2021,2021,Points given by televoters,france,finland,1
390,rotterdam-2021,2021,Points given by the jury,france,greece,12
391,rotterdam-2021,2021,Points given by the jury,france,russia,10
392,rotterdam-2021,2021,Points given by the jury,france,portugal,8
393,rotterdam-2021,2021,Points given by the jury,france,switzerland,7
394,rotterdam-2021,2021,Points given by the jury,france,belgium,6
395,rotterdam-2021,2021,Points given by the jury,france,israel,5
396,rotterdam-2021,2021,Points given by the jury,france,san marino,4
397,rotterdam-2021,2021,Points given by the jury,france,iceland,3
398,rotterdam-2021,2021,Points given by the jury,france,cyprus,2
399,rotterdam-2021,2021,Points given by the jury,france,sweden ,1
400,rotterdam-2021,2021,Points given by televoters,azerbaijan,israel,12
401,rotterdam-2021,2021,Points given by televoters,azerbaijan,italy,10
402,rotterdam-2021,2021,Points given by televoters,azerbaijan,ukraine,8
403,rotterdam-2021,2021,Points given by televoters,azerbaijan,norway,7
404,rotterdam-2021,2021,Points given by televoters,azerbaijan,russia,6
405,rotterdam-2021,2021,Points given by televoters,azerbaijan,finland,5
406,rotterdam-2021,2021,Points given by televoters,azerbaijan,switzerland,4
407,rotterdam-2021,2021,Points given by televoters,azerbaijan,san marino,3
408,rotterdam-2021,2021,Points given by televoters,azerbaijan,france,2
409,rotterdam-2021,2021,Points given by televoters,azerbaijan,moldova,1
410,rotterdam-2021,2021,Points given by the jury,azerbaijan,russia,12
411,rotterdam-2021,2021,Points given by the jury,azerbaijan,greece,10
412,rotterdam-2021,2021,Points given by the jury,azerbaijan,moldova,8
413,rotterdam-2021,2021,Points given by the jury,azerbaijan,malta,7
414,rotterdam-2021,2021,Points given by the jury,azerbaijan,ukraine,6
415,rotterdam-2021,2021,Points given by the jury,azerbaijan,sweden,5
416,rotterdam-2021,2021,Points given by the jury,azerbaijan,france,4
417,rotterdam-2021,2021,Points given by the jury,azerbaijan,belgium,3
418,rotterdam-2021,2021,Points given by the jury,azerbaijan,portugal,2
419,rotterdam-2021,2021,Points given by the jury,azerbaijan,bulgaria,1
420,rotterdam-2021,2021,Points given by televoters,norway,lithuania,12
421,rotterdam-2021,2021,Points given by televoters,norway,iceland,10
422,rotterdam-2021,2021,Points given by televoters,norway,sweden,8
423,rotterdam-2021,2021,Points given by televoters,norway,italy,7
424,rotterdam-2021,2021,Points given by televoters,norway,finland,6
425,rotterdam-2021,2021,Points given by televoters,norway,ukraine,5
426,rotterdam-2021,2021,Points given by televoters,norway,france,4
427,rotterdam-2021,2021,Points given by televoters,norway,malta,3
428,rotterdam-2021,2021,Points given by televoters,norway,switzerland,2
429,rotterdam-2021,2021,Points given by televoters,norway,azerbaijan,1
430,rotterdam-2021,2021,Points given by the jury,norway,malta,12
431,rotterdam-2021,2021,Points given by the jury,norway,sweden,10
432,rotterdam-2021,2021,Points given by the jury,norway,israel,8
433,rotterdam-2021,2021,Points given by the jury,norway,switzerland,7
434,rotterdam-2021,2021,Points given by the jury,norway,bulgaria,6
435,rotterdam-2021,2021,Points given by the jury,norway,italy,5
436,rotterdam-2021,2021,Points given by the jury,norway,france,4
